Audi;A4;must;esivedu;manuaal;08/2000;diisel;1.9 (85 kW);455 800 km;;750 EUR;https://www.auto24.ee/used/3361104
Audi;A6;tumehall met.;esivedu;automaat;06/1996;diisel;2.5 TDI (103 kW);444 444 km;1300 EUR;795 EUR;https://www.auto24.ee/used/3360800
Audi;A6;hõbedane;esivedu;manuaal;10/1995;diisel;2.5 (103 kW);370 000 km;1200 EUR;799 EUR;https://www.auto24.ee/used/3359169
Audi;A4;sinine met.;esivedu;manuaal;05/1997;bensiin;1.6 R4 ADP (74 kW);209 162 km;1200 EUR;800 EUR;https://www.auto24.ee/used/3355603
Audi;A4;helehall met.;esivedu;automaat;04/1999;diisel;1.9 (81 kW);;900 EUR;850 EUR;https://www.auto24.ee/used/3353284
Audi;A6;;esivedu;manuaal;03/1999;diisel;2.5 (110 kW);;870 EUR;;https://www.auto24.ee/used/3346342
Audi;A3;sinine met.;esivedu;manuaal;09/2001;bensiin;1.6 (75 kW);257 000 km;899 EUR;;https://www.auto24.ee/used/3354995
Audi;A4;hall met.;esivedu;manuaal;07/2001;bensiin;1.6 (75 kW);;1400 EUR;899 EUR;https://www.auto24.ee/used/3361321
Audi;90;punane met.;esivedu;manuaal;1991;bensiin;2.3 R5 (98 kW);249 000 km;1500 EUR;900 EUR;https://www.auto24.ee/used/2033467
Audi;A3;kuldne met.;esivedu;manuaal;03/2000;diisel;1.9 (81 kW);300 000 km;1100 EUR;900 EUR;https://www.auto24.ee/used/3344543
Audi;A4;hõbedane met.;esivedu;manuaal;11/2000;bensiin;1.6 (74 kW);280 000 km;900 EUR;;https://www.auto24.ee/used/3354128
Audi;A6;tumesinine;esivedu;manuaal;12/1998;bensiin;1.8 20v (110 kW);291 000 km;1499 EUR;900 EUR;https://www.auto24.ee/used/3351463
Audi;80;punane;esivedu;manuaal;1993;diisel;1.9 Td (55 kW);410 000 km;950 EUR;;https://www.auto24.ee/used/3282937
Audi;A4;hõbedane;esivedu;manuaal;07/1999;diisel;2.5 (110 kW);512 000 km;1300 EUR;950 EUR;https://www.auto24.ee/used/3261415
Audi;A4;hall met.;esivedu;automaat;06/2003;bensiin;1.8 T (120 kW);399 000 km;990 EUR;;https://www.auto24.ee/used/3336364
Audi;A4;tumesinine;esivedu;manuaal;05/2002;bensiin;2.0 (96 kW);330 000 km;1500 EUR;999 EUR;https://www.auto24.ee/used/3357784
Audi;A4;hõbedane;nelikvedu;manuaal (6k);01/2001;diisel;2.5 V6 TDI (132 kW);363 000 km;1000 EUR;999 EUR;https://www.auto24.ee/used/3322895
Audi;A6;must met.;esivedu;manuaal;08/1999;bensiin;2.4 (121 kW);345 000 km ·;1500 EUR;999 EUR;https://www.auto24.ee/used/3354716
Audi;A6;hõbedane met.;esivedu;manuaal;03/2002;diisel;1.9 1.9 TDI (96 kW);294 000 km;1500 EUR;999 EUR;https://www.auto24.ee/used/3352577
Audi;80;must;esivedu;manuaal;05/1993;bensiin + gaas (LPG/vedelgaas);2.0 ABK (85 kW);428 811 km;1000 EUR;;https://www.auto24.ee/used/3353476
Audi;90;hall;esivedu;manuaal;1990;bensiin;2.3 R5 (98 kW);;;1000 EUR;https://www.auto24.ee/used/3313573
Audi;A4;tumesinine;nelikvedu;manuaal;07/1997;diisel;1.9 (81 kW);;1150 EUR;1000 EUR;https://www.auto24.ee/used/3357735
Audi;A4;sinine (Tune sinine);esivedu;manuaal;11/1998;diisel;1.9 (66 kW);;1000 EUR;;https://www.auto24.ee/used/3360388
Audi;A4;hall;esivedu;manuaal;10/1999;bensiin;1.8 (92 kW);223 500 km;1000 EUR;;https://www.auto24.ee/used/3358472
Audi;A6;helehall met.;nelikvedu;manuaal;10/2002;diisel;2.5 (132 kW);400 000 km;2200 EUR;1000 EUR;https://www.auto24.ee/used/3328539
Audi;A6;tumepunane met.;esivedu;manuaal;03/1995;bensiin;2.6 (110 kW);;1200 EUR;1000 EUR;https://www.auto24.ee/used/3316190
Audi;A6;;nelikvedu;manuaal;11/2002;diisel;2.5 (132 kW);342 000 km;1080 EUR;;https://www.auto24.ee/used/3357341
Audi;A4;hall met.;esivedu;automaat;01/2002;bensiin;2.4 (125 kW);261 000 km;1099 EUR;;https://www.auto24.ee/used/3356207
Audi;100;roheline met.;esivedu;automaat;04/1993;bensiin;2.8 V6 (128 kW);367 800 km;1600 EUR;1100 EUR;https://www.auto24.ee/used/3262042
Audi;A4;hõbedane met.;esivedu;manuaal;01/1998;diisel;1.9 TDI (81 kW);411 500 km;1100 EUR;;https://www.auto24.ee/used/3348404
Audi;A6;hõbedane met.;nelikvedu;automaat;10/1999;diisel;2.5 (110 kW);323 000 km ·;1100 EUR;;https://www.auto24.ee/used/3359618
Audi;A6;hõbedane met.;nelikvedu;automaat;02/2004;diisel;2.5 TDI (132 kW);;1100 EUR;;https://www.auto24.ee/used/3350697
Audi;Coupe;must;esivedu;automaat;03/1994;bensiin;2.3 R5 (98 kW);307 000 km;1400 EUR;1100 EUR;https://www.auto24.ee/used/3362006
Audi;A4;hõbedane met.;esivedu;manuaal;05/2000;bensiin;1.8 (92 kW);265 000 km;1150 EUR;;https://www.auto24.ee/used/3361146
Audi;A6;tumesinine;nelikvedu;manuaal;05/2002;bensiin;3.0 V6 (162 kW);478 000 km;1700 EUR;1190 EUR;https://www.auto24.ee/used/3126361
Audi;A4;tumepunane met.;esivedu;automaat;03/1996;bensiin;1.8 (92 kW);280 000 km ·;1300 EUR;1200 EUR;https://www.auto24.ee/used/3360435
Audi;A4;tumesinine;nelikvedu;automaat;10/2003;diisel;2.5 (132 kW);300 000 km;1700 EUR;1200 EUR;https://www.auto24.ee/used/3358495
Audi;A4;must;esivedu;manuaal (5k);05/1998;bensiin;2.8 V6 ACK/ALG (142 kW);200 000 km;1200 EUR;;https://www.auto24.ee/used/3356104
