BMW;530;hõbedane met.;tagavedu;automaat (tiptronic 5k.);05/2002;diisel;3.0 R6 TDI (142 kW);344 000 km;2700 EUR;2299 EUR;https://www.auto24.ee/used/3046421
BMW;330;must met. (Black sapphire metallic (475));tagavedu;automaat;05/2001;diisel;2.9 (160 kW);358 898 km;2500 EUR;2300 EUR;https://www.auto24.ee/used/3062495
BMW;520;tumesinine;tagavedu;automaat;04/2002;bensiin;2.2 (125 kW);221 458 km;2300 EUR;;https://www.auto24.ee/used/3063462
BMW;535;tumesinine;tagavedu;;03/1988;bensiin;3.4 (155 kW);370 000 km;2500 EUR;2300 EUR;https://www.auto24.ee/used/3017755
BMW;325;must met.;tagavedu;manuaal;05/1996;diisel;2.5 (105 kW);400 852 km;2499 EUR;2350 EUR;https://www.auto24.ee/used/3057643
BMW;530;;tagavedu;automaat;07/2002;diisel;3.0 (142 kW);312 000 km;3000 EUR;2350 EUR;https://www.auto24.ee/used/2957941
BMW;320;hall met.;tagavedu;manuaal;07/2002;diisel;2.0 (110 kW);268 000 km ·;2599 EUR;2399 EUR;https://www.auto24.ee/used/2997845
BMW;530;tumesinine met.;tagavedu;automaat;11/2000;diisel;3.0 (142 kW);375 011 km;2399 EUR;;https://www.auto24.ee/used/3059224
BMW;320;tumeroheline;tagavedu;automaat;04/2001;diisel;2.0 (100 kW);;2500 EUR;2400 EUR;https://www.auto24.ee/used/2812077
BMW;325;tumesinine;tagavedu;manuaal;01/2002;bensiin;2.5 (141 kW);262 300 km;2400 EUR;;https://www.auto24.ee/used/3060211
BMW;330;hõbedane;tagavedu;manuaal;07/2000;diisel;3.0 (135 kW);399 204 km;2400 EUR;;https://www.auto24.ee/used/3060147
BMW;520;tumesinine met.;tagavedu;manuaal;04/2001;diisel;2.0 (100 kW);;2900 EUR;2400 EUR;https://www.auto24.ee/used/3031579
BMW;530;tumesinine met. (TOLEDOBLAU METALLIC (482));tagavedu;automaat;11/2002;diisel;3.0 M57 (142 kW);375 000 km ·;3499 EUR;2400 EUR;https://www.auto24.ee/used/3007758
BMW;530;must met.;tagavedu;automaat;02/1999;diisel;3.0 R6 (135 kW);465 000 km;2800 EUR;2400 EUR;https://www.auto24.ee/used/3020351
BMW;318;must (MATT);tagavedu;automaat (Tiptronic);08/2000;bensiin;1.8 (87 kW);230 150 km;2990 EUR;2450 EUR;https://www.auto24.ee/used/3041703
BMW;330;tumehall (STAHLGRAU METALLIC);nelikvedu;automaat;03/2001;diisel;2.9 (135 kW);355 000 km;2750 EUR;2490 EUR;https://www.auto24.ee/used/3058519
BMW;330;hõbedane met.;nelikvedu;automaat;05/2002;diisel;3.0 R6 (135 kW);302 000 km;;2490 EUR;https://www.auto24.ee/used/3063911
BMW;330;hall;tagavedu;manuaal;12/2001;diisel;3.0 R6 (135 kW);390 000 km;2599 EUR;2499 EUR;https://www.auto24.ee/used/3057507
BMW;530;hall met.;tagavedu;automaat;06/1999;diisel;2.9 (135 kW);;2999 EUR;2499 EUR;https://www.auto24.ee/used/2865552
