Audi;80;helehall;nelikvedu;;03/1994;bensiin;2.0 16V (103 kW);246 500 km;1690 EUR;;https://www.auto24.ee/used/3405921
Audi;A6;hall;nelikvedu;manuaal;03/1999;bensiin;1.8 (110 kW);270 000 km;2150 EUR;1699 EUR;https://www.auto24.ee/used/3406139
Audi;A2;must;esivedu;manuaal;01/2002;bensiin;1.4 (55 kW);238 309 km;2000 EUR;1700 EUR;https://www.auto24.ee/used/3380800
Audi;A3;must;esivedu;manuaal;05/2004;bensiin;1.6 (75 kW);242 000 km;2000 EUR;1700 EUR;https://www.auto24.ee/used/3359719
Audi;A3;helesinine;esivedu;manuaal;02/2002;diisel;1.9 (96 kW);352 000 km;1700 EUR;;https://www.auto24.ee/used/3405787
Audi;A4;tumesinine;nelikvedu;manuaal;07/2004;diisel;2.5 BAU (132 kW);430 000 km ·;1900 EUR;1700 EUR;https://www.auto24.ee/used/2637121
Audi;A6;must;nelikvedu;automaat;08/2004;diisel;2.5 (132 kW);;2300 EUR;1700 EUR;https://www.auto24.ee/used/3405846
Audi;Coupe;must met.;esivedu;manuaal;1989;bensiin;2.3 r5;;1700 EUR;;https://www.auto24.ee/used/3184853
Audi;A6;hõbedane met.;esivedu;automaat;11/2003;diisel;1.9 TDI (96 kW);309 148 km;1960 EUR;1750 EUR;https://www.auto24.ee/used/3366003
Audi;A6;hõbedane met.;nelikvedu;automaat;01/2001;diisel;2.5 (132 kW);266 000 km;1750 EUR;;https://www.auto24.ee/used/3204171
Audi;A4;must met.;esivedu;manuaal;09/2002;diisel;1.9 TDI (74 kW);;2200 EUR;1790 EUR;https://www.auto24.ee/used/3402715
Audi;A6;sinine met.;esivedu;manuaal;08/2002;bensiin;1.8 (110 kW);235 000 km;2100 EUR;1799 EUR;https://www.auto24.ee/used/3400054
Audi;A6;helehall;nelikvedu;automaat;07/1999;bensiin;2.7 V6 (169 kW);245 715 km;2299 EUR;1799 EUR;https://www.auto24.ee/used/3316637
Audi;90;valge (ALPINE WHITE);esivedu;automaat;05/1990;bensiin;2.3 R5 (100 kW);260 000 km;2600 EUR;1800 EUR;https://www.auto24.ee/used/3378758
Audi;A4;tumesinine;esivedu;automaat;04/2001;bensiin;2.0 (96 kW);430 000 km;2100 EUR;1800 EUR;https://www.auto24.ee/used/3393787
Audi;A6;must;nelikvedu;manuaal;06/2003;bensiin;2.4 V6 (125 kW);340 600 km;2000 EUR;1800 EUR;https://www.auto24.ee/used/3392722
